topic_id,word_id,response,percentage
3,topic-3-00297,was,83.0
3,topic-3-00298,already,46.0
3,topic-3-00299,died,51.0
3,topic-3-00300,to,84.0
3,topic-3-00301,death,99.0
3,topic-3-00302,and,51.0
3,topic-3-00303,the,51.0
3,topic-3-00304,was,67.0
3,topic-3-00305,on,55.00000000000001
3,topic-3-00306,on,50.0
3,topic-3-00307,on,35.0
3,topic-3-00308,the,59.0
3,topic-3-00309,not,89.0
3,topic-3-00310,move,56.99999999999999
3,topic-3-00311,at,34.0
3,topic-3-00312,all,88.0
3,topic-3-00313,the,72.0
3,topic-3-00314,little,88.0
3,topic-3-00315,rooster,99.0
3,topic-3-00316,was,40.0
3,topic-3-00317,sad,47.0
3,topic-3-00318,sad,74.0
3,topic-3-00319,that,61.0
3,topic-3-00320,he,83.0
3,topic-3-00321,cried,28.999999999999996
3,topic-3-00322,and,54.0
3,topic-3-00323,and,40.0
3,topic-3-00324,he,19.0
3,topic-3-00325,the,57.99999999999999
3,topic-3-00326,animals,26.0
3,topic-3-00327,heard,21.0
3,topic-3-00328,to,62.0
3,topic-3-00329,see,57.99999999999999
3,topic-3-00330,the,69.0
3,topic-3-00331,the,78.0
3,topic-3-00332,little,89.0
3,topic-3-00333,hen,88.0
3,topic-3-00334,the,56.00000000000001
3,topic-3-00335,animals,17.0
3,topic-3-00336,came,44.0
3,topic-3-00337,a,90.0
3,topic-3-00338,coffin,22.0
3,topic-3-00339,coffin,22.0
3,topic-3-00340,for,40.0
3,topic-3-00341,carried,30.0
3,topic-3-00342,used,40.0
3,topic-3-00343,carry,60.0
3,topic-3-00344,the,87.0
3,topic-3-00345,little,84.0
3,topic-3-00346,hen,90.0
3,topic-3-00347,to,57.99999999999999
3,topic-3-00348,the,56.99999999999999
3,topic-3-00349,grave,43.0
3,topic-3-00350,the,63.0
3,topic-3-00351,the,42.0
3,topic-3-00352,little,35.0
3,topic-3-00353,was,52.0
3,topic-3-00354,built,18.0
3,topic-3-00355,the,65.0
3,topic-3-00356,put,31.0
3,topic-3-00357,it,56.00000000000001
3,topic-3-00358,to,83.0
3,topic-3-00359,the,48.0
3,topic-3-00360,and,86.0
3,topic-3-00361,they,23.0
3,topic-3-00362,little,45.0
3,topic-3-00363,hen,41.0
3,topic-3-00364,was,19.0
3,topic-3-00365,the,40.0
3,topic-3-00366,the,84.0
3,topic-3-00367,way,73.0
3,topic-3-00368,to,56.99999999999999
3,topic-3-00369,saw,33.0
3,topic-3-00370,a,53.0
3,topic-3-00371,bride,28.000000000000004
3,topic-3-00372,the,73.0
3,topic-3-00373,are,80.0
3,topic-3-00374,you,94.0
3,topic-3-00375,going,87.0
3,topic-3-00376,asked,24.0
3,topic-3-00377,rooster,91.0
3,topic-3-00378,the,37.0
3,topic-3-00379,am,87.0
3,topic-3-00380,going,67.0
3,topic-3-00381,to,93.0
3,topic-3-00382,bury,46.0
3,topic-3-00383,the,51.0
3,topic-3-00384,friend,74.0
3,topic-3-00385,hen,79.0
3,topic-3-00386,the,40.0
3,topic-3-00387,i,87.0
3,topic-3-00388,come,50.0
3,topic-3-00389,with,64.0
3,topic-3-00390,yes,32.0
3,topic-3-00391,you,70.0
3,topic-3-00392,you,36.0
3,topic-3-00393,must,38.0
3,topic-3-00394,not,31.0
3,topic-3-00395,in,52.0
3,topic-3-00396,the,92.0
3,topic-3-00397,back,56.00000000000001
3,topic-3-00398,and,16.0
3,topic-3-00399,i,23.0
3,topic-3-00400,little,43.0
3,topic-3-00401,hen,89.0
3,topic-3-00402,are,62.0
3,topic-3-00403,not,96.0
3,topic-3-00404,like,35.0
3,topic-3-00405,foxes,44.0
3,topic-3-00406,and,20.0
3,topic-3-00407,much,77.0
3,topic-3-00408,to,97.0
3,topic-3-00409,them,80.0
3,topic-3-00410,front,59.0
3,topic-3-00411,the,39.0
3,topic-3-00412,the,87.0
3,topic-3-00413,sat,28.000000000000004
3,topic-3-00414,in,54.0
3,topic-3-00415,the,94.0
3,topic-3-00416,rear,74.0
3,topic-3-00417,and,82.0
3,topic-3-00418,the,27.0
3,topic-3-00419,the,42.0
3,topic-3-00420,little,36.0
3,topic-3-00421,who,22.0
3,topic-3-00422,fox,32.0
3,topic-3-00423,and,49.0
3,topic-3-00424,lion,15.0
3,topic-3-00425,the,71.0
3,topic-3-00426,deer,28.000000000000004
3,topic-3-00427,the,72.0
3,topic-3-00428,the,79.0
3,topic-3-00429,the,63.0
3,topic-3-00430,animals,49.0
3,topic-3-00431,went,20.0
3,topic-3-00432,the,87.0
3,topic-3-00433,forest,55.00000000000001
3,topic-3-00434,they,31.0
3,topic-3-00435,all,39.0
3,topic-3-00436,to,34.0
3,topic-3-00437,the,74.0
3,topic-3-00438,they,82.0
3,topic-3-00439,reached,31.0
3,topic-3-00440,to,86.0
3,topic-3-00441,the,75.0
3,topic-3-00442,grave,28.000000000000004
3,topic-3-00443,the,35.0
3,topic-3-00444,do,32.0
3,topic-3-00445,we,81.0
3,topic-3-00446,cross,57.99999999999999
3,topic-3-00447,across,54.0
3,topic-3-00448,the,48.0
3,topic-3-00449,the,84.0
3,topic-3-00450,little,62.0
3,topic-3-00451,rooster,94.0
3,topic-3-00452,the,32.0
3,topic-3-00453,fox,9.0
3,topic-3-00454,hat,23.0
3,topic-3-00455,drawn,17.0
3,topic-3-00456,on,70.0
3,topic-3-00457,on,48.0
3,topic-3-00458,to,96.0
3,topic-3-00459,the,93.0
3,topic-3-00460,brook,53.0
3,topic-3-00461,and,71.0
3,topic-3-00462,the,52.0
3,topic-3-00463,said,22.0
3,topic-3-00464,we,27.0
3,topic-3-00465,can,37.0
3,topic-3-00466,use,22.0
3,topic-3-00467,the,22.0
3,topic-3-00468,on,40.0
3,topic-3-00469,and,49.0
3,topic-3-00470,you,60.0
3,topic-3-00471,can,75.0
3,topic-3-00472,drive,20.0
3,topic-3-00473,over,34.0
3,topic-3-00474,me,80.0
3,topic-3-00475,the,57.99999999999999
3,topic-3-00476,the,55.00000000000001
3,topic-3-00477,as,36.0
3,topic-3-00478,he,35.0
3,topic-3-00479,little,39.0
3,topic-3-00480,mice,71.0
3,topic-3-00481,were,26.0
3,topic-3-00482,to,30.0
3,topic-3-00483,the,87.0
3,topic-3-00484,straw,36.0
3,topic-3-00485,the,57.99999999999999
3,topic-3-00486,broke,45.0
3,topic-3-00487,and,63.0
3,topic-3-00488,the,92.0
3,topic-3-00489,brook,69.0
3,topic-3-00490,and,85.0
3,topic-3-00491,the,52.0
3,topic-3-00492,mice,27.0
3,topic-3-00493,mice,94.0
3,topic-3-00494,drowned,26.0
3,topic-3-00495,drowned,40.0
3,topic-3-00496,into,62.0
3,topic-3-00497,the,71.0
3,topic-3-00498,drowned,54.0
3,topic-3-00499,the,61.0
3,topic-3-00500,were,30.0
3,topic-3-00501,not,95.0
3,topic-3-00502,know,39.0
3,topic-3-00503,how,49.0
3,topic-3-00504,to,66.0
3,topic-3-00505,do,90.0
3,topic-3-00506,so,52.0
3,topic-3-00507,the,71.0
3,topic-3-00508,fox,20.0
3,topic-3-00509,miner,48.0
3,topic-3-00510,to,26.0
3,topic-3-00511,said,28.000000000000004
3,topic-3-00512,i,43.0
3,topic-3-00513,can,42.0
3,topic-3-00514,a,28.000000000000004
3,topic-3-00515,and,50.0
3,topic-3-00516,i,43.0
3,topic-3-00517,can,56.00000000000001
3,topic-3-00518,help,32.0
3,topic-3-00519,across,33.0
3,topic-3-00520,across,43.0
3,topic-3-00521,the,92.0
3,topic-3-00522,you,79.0
3,topic-3-00523,can,89.0
3,topic-3-00524,drive,36.0
3,topic-3-00525,over,56.99999999999999
3,topic-3-00526,me,89.0
3,topic-3-00527,the,54.0
3,topic-3-00528,the,67.0
3,topic-3-00529,little,39.0
3,topic-3-00530,laid,42.0
3,topic-3-00531,down,49.0
3,topic-3-00532,down,36.0
3,topic-3-00533,the,94.0
3,topic-3-00534,brook,56.99999999999999
3,topic-3-00535,and,81.0
3,topic-3-00536,the,51.0
3,topic-3-00537,the,43.0
3,topic-3-00538,was,47.0
3,topic-3-00539,the,94.0
3,topic-3-00540,water,54.0
3,topic-3-00541,and,91.0
